"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","222","0 Walnut Place, High Street Hill, Brookline","4/1/2019 - 6/30/2019, Every day, Daily Average",1737,1315,2293
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","223","0 Berkshire Road, Babson Park, Wellesley","4/1/2019 - 6/30/2019, Every day, Daily Average",2153,1611,2876
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","224","0 Evans Lane, Norfolk","4/1/2019 - 6/30/2019, Every day, Daily Average",3128,2494,3922
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","225","0 Longmeadow Drive, Westwood","4/1/2019 - 6/30/2019, Every day, Daily Average",2383,1783,3184
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","226","0 Everett Avenue, Norwood","4/1/2019 - 6/30/2019, Every day, Daily Average",2740,2012,3730
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","227","1100 Commonwealth Avenue, Allston, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1381,1024,1861
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","228","200 Central Avenue, Milton","4/1/2019 - 6/30/2019, Every day, Daily Average",1737,1198,2516
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","229","100 Main Street, Quincy","4/1/2019 - 6/30/2019, Every day, Daily Average",1985,1453,2711
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","230","0 Saddle Row, Plainville","4/1/2019 - 6/30/2019, Every day, Daily Average",3197,2438,4191
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","231","100 Pearl Street, Stoughton","4/1/2019 - 6/30/2019, Every day, Daily Average",2518,1896,3342
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","232","0 Free Street, Hingham","4/1/2019 - 6/30/2019, Every day, Daily Average",2611,1980,3441
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","233","100 Mann Lot Road, Scituate","4/1/2019 - 6/30/2019, Every day, Daily Average",3313,2544,4313
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","234","0 Lake Street, Pembroke","4/1/2019 - 6/30/2019, Every day, Daily Average",3392,2480,4638
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","237","Fall River Expressway, Brockton","4/1/2019 - 6/30/2019, Every day, Daily Average",2667,1915,3712
